Cod. PLU;Cod. PLU Retailer;ProductId;Brand;Model;Tipo de producto;Tipo de combustible;Capacidad por minuto;Capacidad por volumen;Calefones Tiro Natural;Capacidad;Desc. Producto;Producto
7701431582;767588;197900708;Junkers;11 litros Piezo - GL;Calefont;Gas Licuado;11;-1;True;11;PIEZO ELÉCTRICO 11L GLP;Junkers-PIEZO ELÉCTRICO 11L GLP
7701431015;1046535;163477321;Junkers;WTD11KG31S4395;Calefont;Gas Licuado;11;-1;True;11;IONIZADO 11L GLP - HYDROPOWER PLUS;Junkers-IONIZADO 11L GLP - HYDROPOWER PLUS
7736502088;2655977;197900939;Junkers;10 litros ionizado - GL;Calefont;Gas Licuado;10;-1;True;10;IONIZADO 10L GLP - HYDROBATTERY SMART;Junkers-IONIZADO 10L GLP - HYDROBATTERY SMART
7702331693;1867792;199921207;Junkers;13 litros HydroWind - GN;Calefont;Gas Natural;13;-1;False;13;TIRO FORZADO 13L GN - HYDROWIND;Junkers-TIRO FORZADO 13L GN - HYDROWIND
7736502701;2785315;163477328;Junkers;12 litros HydroCompact - GN;Calefont;Gas Natural;12;-1;False;12;TIRO FORZADO 12L GN - HYDROCOMPACT;Junkers-TIRO FORZADO 12L GN - HYDROCOMPACT
7736505611;5590175;197901676;Junkers;15 litros HydroWind Plus - GN;Calefont;Gas Natural;15;-1;False;15;TIRO FORZADO 15L GN - HYDROWIND PLUS;Junkers-TIRO FORZADO 15L GN - HYDROWIND PLUS
7702331762;767595;163477382;Junkers;14 litros Ionizado - GN;Calefont;Gas Natural;14;-1;False;14;IONIZADO 14 GN - MINIMAXX;Junkers-IONIZADO 14 GN - MINIMAXX
7701431581;112429;242835008;Junkers;11 litros Ionizado - GL;Calefont;Gas Licuado;11;-1;True;11;IONIZADO 11L GLP - MINIMAXX;Junkers-IONIZADO 11L GLP - MINIMAXX
7716403079;849525;226017047;Junkers;5 litros AS0 - GL;Calefont;Gas Licuado;5;-1;True;5;IONIZADO 5L GLP - AS0;Junkers-IONIZADO 5L GLP - AS0
7716433124;847025;229727494;Junkers;7 litros AS0 - GL;Calefont;Gas Licuado;7;-1;False;7;IONIZADO 7L GLP - AS0;Junkers-IONIZADO 7L GLP - AS0
